,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink,planet_type,duplicate_discovery_data,temp_planet_mass,planet_radius,orbital_radius,orbital_period,eccentricity
577,HD 163607 c,222.0,2.201 Jupiters,8.0,2010,https://exoplanets.nasa.gov/exoplanet-catalog/6966/hd-163607-c/,Gas Giant,2010,2.201 Jupiters,1.19 x Jupiter,2.39 AU,3.5 years,0.08
578,HD 16417 b,83.0,22.1 Earths,5.78,2008,https://exoplanets.nasa.gov/exoplanet-catalog/6585/hd-16417-b/,Neptune-like,2008,22.1 Earths,0.446 x Jupiter,0.14 AU,17.2 days,0.2
579,HD 164509 b,174.0,0.443 Jupiters,8.1,2010,https://exoplanets.nasa.gov/exoplanet-catalog/6967/hd-164509-b/,Gas Giant,2010,0.443 Jupiters,1.28 x Jupiter,0.87 AU,280.2 days,0.24
580,HD 164595 b,92.0,16.14 Earths,7.1,2015,https://exoplanets.nasa.gov/exoplanet-catalog/7080/hd-164595-b/,Neptune-like,2015,16.14 Earths,0.371 x Jupiter,0.23 AU,40 days,0.09
581,HD 164604 b,129.0,1.99792 Jupiters,9.7,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6969/hd-164604-b/,Gas Giant,2009,1.99792 Jupiters,1.19 x Jupiter,1.331 AU,1.8 years,0.35
582,HD 164922 b,72.0,0.36497 Jupiters,6.99,2005,https://exoplanets.nasa.gov/exoplanet-catalog/6968/hd-164922-b/,Gas Giant,2005,0.36497 Jupiters,1.19 x Jupiter,2.16 AU,3.3 years,0.08
583,HD 164922 c,72.0,13 Earths,6.99,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7245/hd-164922-c/,Neptune-like,2016,13 Earths,0.327 x Jupiter,0.341 AU,75.7 days,0.12
584,HD 164922 d,72.0,4 Earths,6.99,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7625/hd-164922-d/,Super Earth,2020,4 Earths,1.83 x Earth,0.103 AU,12.5 days,0.12
585,HD 165155 b,207.0,2.89 Jupiters,9.36,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7237/hd-165155-b/,Gas Giant,2016,2.89 Jupiters,1.18 x Jupiter,1.13 AU,434.5 days,0.2
586,HD 1666 b,386.0,6.43 Jupiters,8.17,2015,https://exoplanets.nasa.gov/exoplanet-catalog/6776/hd-1666-b/,Gas Giant,2015,6.43 Jupiters,1.13 x Jupiter,0.94 AU,270 days,0.63
587,HD 166724 b,147.0,3.53 Jupiters,9.344,2012,https://exoplanets.nasa.gov/exoplanet-catalog/6970/hd-166724-b/,Gas Giant,2012,3.53 Jupiters,1.16 x Jupiter,5.42 AU,14.1 years,0.73
588,HD 167042 b,162.0,1.7 Jupiters,5.94,2007,https://exoplanets.nasa.gov/exoplanet-catalog/6971/hd-167042-b/,Gas Giant,2007,1.7 Jupiters,1.2 x Jupiter,1.32 AU,420.8 days,0.09
589,HD 168443 b,129.0,7.659 Jupiters,6.917,1998,https://exoplanets.nasa.gov/exoplanet-catalog/6972/hd-168443-b/,Gas Giant,1998,7.659 Jupiters,1.13 x Jupiter,0.2931 AU,58.1 days,0.53
590,HD 168443 c,129.0,17.193 Jupiters,6.917,2000,https://exoplanets.nasa.gov/exoplanet-catalog/6973/hd-168443-c/,Gas Giant,2000,17.193 Jupiters,1.09 x Jupiter,2.8373 AU,4.8 years,0.21
591,HD 168746 b,136.0,0.27 Jupiters,7.946,2002,https://exoplanets.nasa.gov/exoplanet-catalog/6974/hd-168746-b/,Gas Giant,2002,0.27 Jupiters,0.993 x Jupiter,0.07 AU,6.4 days,0.11
592,HD 1690 b,2510.0,8.79 Jupiters,9.17,2010,https://exoplanets.nasa.gov/exoplanet-catalog/6777/hd-1690-b/,Gas Giant,2010,8.79 Jupiters,1.12 x Jupiter,1.36 AU,1.5 years,0.64
593,HD 169830 b,123.0,2.88 Jupiters,5.902,2000,https://exoplanets.nasa.gov/exoplanet-catalog/6975/hd-169830-b/,Gas Giant,2000,2.88 Jupiters,1.18 x Jupiter,0.81 AU,225.6 days,0.31
594,HD 169830 c,123.0,4.04 Jupiters,5.902,2003,https://exoplanets.nasa.gov/exoplanet-catalog/6976/hd-169830-c/,Gas Giant,2003,4.04 Jupiters,1.16 x Jupiter,3.6 AU,5.8 years,0.33
595,HD 170469 b,197.0,0.66 Jupiters,8.21,2007,https://exoplanets.nasa.gov/exoplanet-catalog/6977/hd-170469-b/,Gas Giant,2007,0.66 Jupiters,1.25 x Jupiter,2.24 AU,3.1 years,0.11
596,HD 17092 b,750.0,10.13 Jupiters,7.732,2007,https://exoplanets.nasa.gov/exoplanet-catalog/6587/hd-17092-b/,Gas Giant,2007,10.13 Jupiters,1.11 x Jupiter,1.31 AU,359.9 days,0.17
597,HD 171028 b,365.0,2.62 Jupiters,8.31,2007,https://exoplanets.nasa.gov/exoplanet-catalog/6978/hd-171028-b/,Gas Giant,2007,2.62 Jupiters,1.18 x Jupiter,1.32 AU,1.5 years,0.59
598,HD 171238 b,146.0,2.72 Jupiters,8.61,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6979/hd-171238-b/,Gas Giant,2009,2.72 Jupiters,1.18 x Jupiter,2.57 AU,4.2 years,0.23
599,HD 17156 b,255.0,3.51 Jupiters,8.172,2007,https://exoplanets.nasa.gov/exoplanet-catalog/6588/hd-17156-b/,Gas Giant,2007,3.51 Jupiters,1.1 x Jupiter,0.16278 AU,21.2 days,0.68
600,HD 173416 b,433.0,2.7 Jupiters,6.057,2008,https://exoplanets.nasa.gov/exoplanet-catalog/6980/hd-173416-b/,Gas Giant,2008,2.7 Jupiters,1.18 x Jupiter,1.16 AU,323.6 days,0.21
601,HD 175167 b,232.0,8.97 Jupiters,8.01,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6981/hd-175167-b/,Gas Giant,2009,8.97 Jupiters,1.12 x Jupiter,2.4 AU,3.5 years,0.54
602,HD 175541 b,424.0,0.598 Jupiters,8.02,2007,https://exoplanets.nasa.gov/exoplanet-catalog/6982/hd-175541-b/,Gas Giant,2007,0.598 Jupiters,1.26 x Jupiter,0.975 AU,298.4 days,0.11
603,HD 175607 b,132.0,8.98 Earths,8.61,2015,https://exoplanets.nasa.gov/exoplanet-catalog/7086/hd-175607-b/,Neptune-like,2015,8.98 Earths,0.263 x Jupiter,Unknown,29 days,0.11
604,HD 17674 b,145.0,0.87 Jupiters,7.56,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7250/hd-17674-b/,Gas Giant,2017,0.87 Jupiters,1.24 x Jupiter,1.42 AU,1.7 years,< 0.13
605,HD 176986 b,91.0,5.74 Earths,8.42,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7323/hd-176986-b/,Neptune-like,2017,5.74 Earths,0.202 x Jupiter,0.06296 AU,6.5 days,0.07
606,HD 176986 c,91.0,9.18 Earths,8.42,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7324/hd-176986-c/,Neptune-like,2017,9.18 Earths,0.266 x Jupiter,0.11878 AU,16.8 days,0.11
607,HD 177565 b,55.0,15.1 Earths,6.16,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7200/hd-177565-b/,Neptune-like,2017,15.1 Earths,0.357 x Jupiter,0.246 AU,44.5 days,0.06
608,HD 177830 b,205.0,1.69 Jupiters,7.177,1999,https://exoplanets.nasa.gov/exoplanet-catalog/6983/hd-177830-b/,Gas Giant,1999,1.69 Jupiters,1.2 x Jupiter,1.14 AU,410.1 days,0.1
609,HD 177830 c,205.0,0.15 Jupiters,7.177,2010,https://exoplanets.nasa.gov/exoplanet-catalog/6984/hd-177830-c/,Gas Giant,2010,0.15 Jupiters,0.702 x Jupiter,0.5137 AU,110.9 days,0.3
610,HD 178911 B b,134.0,8.03 Jupiters,7.792,2001,https://exoplanets.nasa.gov/exoplanet-catalog/6814/hd-178911-b-b/,Gas Giant,2001,8.03 Jupiters,1.12 x Jupiter,0.34 AU,71.5 days,0.11
611,HD 179079 b,228.0,25.74423 Earths,7.95,2008,https://exoplanets.nasa.gov/exoplanet-catalog/6815/hd-179079-b/,Neptune-like,2008,25.74423 Earths,0.488 x Jupiter,0.1214 AU,14.5 days,0.05
612,HD 179949 b,90.0,0.916 Jupiters,6.25,2000,https://exoplanets.nasa.gov/exoplanet-catalog/6816/hd-179949-b/,Gas Giant,2000,0.916 Jupiters,1.24 x Jupiter,0.0443 AU,3.1 days,0.02
613,HD 180053 b,449.0,2.194 Jupiters,7.93,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7358/hd-180053-b/,Gas Giant,2018,2.194 Jupiters,1.19 x Jupiter,0.843 AU,213.7 days,0.08
614,HD 18015 b,405.0,3.18 Jupiters,7.89,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7355/hd-18015-b/,Gas Giant,2018,3.18 Jupiters,1.17 x Jupiter,3.87 AU,6.2 years,0.15
615,HD 180314 b,401.0,20.13 Jupiters,6.608,2010,https://exoplanets.nasa.gov/exoplanet-catalog/6817/hd-180314-b/,Gas Giant,2010,20.13 Jupiters,1.08 x Jupiter,1.46 AU,396 days,0.26
616,HD 180617 b,19.0,12.2 Earths,9.12,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7407/hd-180617-b/,Neptune-like,2018,12.2 Earths,0.315 x Jupiter,0.3357 AU,105.9 days,0.16
617,HD 180902 b,342.0,1.685 Jupiters,7.78,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6818/hd-180902-b/,Gas Giant,2009,1.685 Jupiters,1.2 x Jupiter,1.4 AU,1.4 years,0.11
618,HD 181234 b,156.0,8.37 Jupiters,8.59,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7340/hd-181234-b/,Gas Giant,2019,8.37 Jupiters,1.12 x Jupiter,7.52 AU,20.4 years,0.73
619,HD 181342 b,394.0,2.54 Jupiters,7.55,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6819/hd-181342-b/,Gas Giant,2009,2.54 Jupiters,1.18 x Jupiter,1.592 AU,1.5 years,0.02
620,HD 181433 b,88.0,6.3566 Earths,8.4,2008,https://exoplanets.nasa.gov/exoplanet-catalog/6820/hd-181433-b/,Neptune-like,2008,6.3566 Earths,0.214 x Jupiter,0.08 AU,9.4 days,0.4
621,HD 181433 c,88.0,0.64 Jupiters,8.4,2008,https://exoplanets.nasa.gov/exoplanet-catalog/6821/hd-181433-c/,Gas Giant,2008,0.64 Jupiters,1.26 x Jupiter,1.76 AU,2.6 years,0.28
622,HD 181433 d,88.0,0.54 Jupiters,8.4,2008,https://exoplanets.nasa.gov/exoplanet-catalog/6822/hd-181433-d/,Gas Giant,2008,0.54 Jupiters,1.27 x Jupiter,3.0 AU,6 years,0.48
623,HD 181720 b,197.0,0.4 Jupiters,7.849,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6823/hd-181720-b/,Gas Giant,2009,0.4 Jupiters,1.25 x Jupiter,1.85 AU,2.6 years,0.26
624,HD 183263 b,177.0,3.95 Jupiters,7.861,2004,https://exoplanets.nasa.gov/exoplanet-catalog/6824/hd-183263-b/,Gas Giant,2004,3.95 Jupiters,1.16 x Jupiter,1.49 AU,1.7 years,0.36
625,HD 183263 c,177.0,3.57 Jupiters,7.861,2008,https://exoplanets.nasa.gov/exoplanet-catalog/6870/hd-183263-c/,Gas Giant,2008,3.57 Jupiters,1.16 x Jupiter,4.35 AU,8.4 years,0.24
626,HD 185269 b,170.0,1.01 Jupiters,6.67,2006,https://exoplanets.nasa.gov/exoplanet-catalog/6871/hd-185269-b/,Gas Giant,2006,1.01 Jupiters,1.23 x Jupiter,0.077 AU,6.8 days,0.23
627,HD 187085 b,150.0,0.836 Jupiters,7.225,2006,https://exoplanets.nasa.gov/exoplanet-catalog/6872/hd-187085-b/,Gas Giant,2006,0.836 Jupiters,1.24 x Jupiter,2.1 AU,2.8 years,0.25
628,HD 187123 b,150.0,0.523 Jupiters,7.832,1998,https://exoplanets.nasa.gov/exoplanet-catalog/6873/hd-187123-b/,Gas Giant,1998,0.523 Jupiters,1.27 x Jupiter,0.0426 AU,3.1 days,0.01
629,HD 187123 c,150.0,1.99 Jupiters,7.832,2008,https://exoplanets.nasa.gov/exoplanet-catalog/6874/hd-187123-c/,Gas Giant,2008,1.99 Jupiters,1.19 x Jupiter,4.89 AU,10.4 years,0.25
630,HD 18742 b,533.0,3.4 Jupiters,7.81,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6589/hd-18742-b/,Gas Giant,2011,3.4 Jupiters,1.17 x Jupiter,1.82 AU,2.1 years,0.04
631,HD 188015 b,166.0,1.5 Jupiters,8.234,2004,https://exoplanets.nasa.gov/exoplanet-catalog/6875/hd-188015-b/,Gas Giant,2004,1.5 Jupiters,1.21 x Jupiter,1.203 AU,461.2 days,0.14
632,HD 189733 b,65.0,1.13 Jupiters,7.67,2005,https://exoplanets.nasa.gov/exoplanet-catalog/6876/hd-189733-b/,Gas Giant,2005,1.13 Jupiters,1.13 x Jupiter,0.0313 AU,2.2 days,0.0
633,HD 190360 b,52.0,1.54 Jupiters,5.73,2003,https://exoplanets.nasa.gov/exoplanet-catalog/6877/hd-190360-b/,Gas Giant,2003,1.54 Jupiters,1.21 x Jupiter,3.97 AU,8 years,0.31
634,HD 190360 c,52.0,19.069 Earths,5.73,2005,https://exoplanets.nasa.gov/exoplanet-catalog/6878/hd-190360-c/,Neptune-like,2005,19.069 Earths,0.409 x Jupiter,0.1304 AU,17.1 days,0.24
635,HD 190647 b,178.0,1.985 Jupiters,7.779,2007,https://exoplanets.nasa.gov/exoplanet-catalog/6879/hd-190647-b/,Gas Giant,2007,1.985 Jupiters,1.19 x Jupiter,2.231 AU,3.2 years,0.22
636,HD 190984 b,485.0,3.1 Jupiters,8.76,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6880/hd-190984-b/,Gas Giant,2009,3.1 Jupiters,1.17 x Jupiter,5.5 AU,13.4 years,0.57
637,HD 191806 b,215.0,8.52 Jupiters,8.084,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7156/hd-191806-b/,Gas Giant,2016,8.52 Jupiters,1.12 x Jupiter,2.8 AU,4.4 years,0.26
638,HD 191939 b,174.0,11.6 Earths,8.963,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7653/hd-191939-b/,Neptune-like,2020,11.6 Earths,0.305 x Jupiter,0.0814 AU,8.9 days,0.0
639,HD 191939 c,174.0,10.5 Earths,8.963,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7654/hd-191939-c/,Neptune-like,2020,10.5 Earths,0.288 x Jupiter,0.1762 AU,28.6 days,0.0
640,HD 191939 d,174.0,10.1 Earths,8.963,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7655/hd-191939-d/,Neptune-like,2020,10.1 Earths,0.282 x Jupiter,0.215 AU,38.4 days,0.0
641,HD 192263 b,64.0,0.56 Jupiters,7.79,1999,https://exoplanets.nasa.gov/exoplanet-catalog/6881/hd-192263-b/,Gas Giant,1999,0.56 Jupiters,1.26 x Jupiter,0.15 AU,24.4 days,0.05
642,HD 192310 b,29.0,16.9 Earths,5.73,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6882/hd-192310-b/,Neptune-like,2011,16.9 Earths,0.381 x Jupiter,0.32 AU,74.7 days,0.13
643,HD 192310 c,29.0,24 Earths,5.73,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6883/hd-192310-c/,Neptune-like,2011,24 Earths,0.469 x Jupiter,1.18 AU,1.4 years,0.32
644,HD 192699 b,235.0,2.096 Jupiters,6.44,2007,https://exoplanets.nasa.gov/exoplanet-catalog/6884/hd-192699-b/,Gas Giant,2007,2.096 Jupiters,1.19 x Jupiter,1.063 AU,340.9 days,0.08
645,HD 195019 b,123.0,3.98 Jupiters,6.87,1998,https://exoplanets.nasa.gov/exoplanet-catalog/6885/hd-195019-b/,Gas Giant,1998,3.98 Jupiters,1.16 x Jupiter,0.14 AU,18.2 days,0.01
646,HD 196050 b,166.0,3.18 Jupiters,7.5,2002,https://exoplanets.nasa.gov/exoplanet-catalog/6886/hd-196050-b/,Gas Giant,2002,3.18 Jupiters,1.17 x Jupiter,2.51 AU,3.8 years,0.23
647,HD 196067 b,130.0,6.9 Jupiters,6.03,2012,https://exoplanets.nasa.gov/exoplanet-catalog/6887/hd-196067-b/,Gas Giant,2012,6.9 Jupiters,1.13 x Jupiter,5.02 AU,10 years,0.66
648,HD 196885 A b,112.0,2.58 Jupiters,6.398,2007,https://exoplanets.nasa.gov/exoplanet-catalog/7528/hd-196885-a-b/,Gas Giant,2007,2.58 Jupiters,1.18 x Jupiter,2.37 AU,3.7 years,0.48
649,HD 197037 b,108.0,0.79 Jupiters,6.809,2012,https://exoplanets.nasa.gov/exoplanet-catalog/6889/hd-197037-b/,Gas Giant,2012,0.79 Jupiters,1.24 x Jupiter,2.07 AU,2.8 years,0.22
650,HD 19994 b,74.0,1.37 Jupiters,5.06,2003,https://exoplanets.nasa.gov/exoplanet-catalog/6590/hd-19994-b/,Gas Giant,2003,1.37 Jupiters,1.21 x Jupiter,1.305 AU,466.2 days,0.06
651,HD 20003 b,143.0,11.66 Earths,8.39,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7303/hd-20003-b/,Neptune-like,2019,11.66 Earths,0.306 x Jupiter,0.0974 AU,11.8 days,0.36
652,HD 20003 c,143.0,14.44 Earths,8.39,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7304/hd-20003-c/,Neptune-like,2019,14.44 Earths,0.347 x Jupiter,0.1964 AU,33.9 days,0.1
653,HD 200964 b,237.0,1.599 Jupiters,6.48,2010,https://exoplanets.nasa.gov/exoplanet-catalog/6890/hd-200964-b/,Gas Giant,2010,1.599 Jupiters,1.21 x Jupiter,1.565 AU,1.7 years,0.09
654,HD 200964 c,237.0,1.214 Jupiters,6.48,2010,https://exoplanets.nasa.gov/exoplanet-catalog/6891/hd-200964-c/,Gas Giant,2010,1.214 Jupiters,1.22 x Jupiter,1.96 AU,2.3 years,0.24
655,HD 202206 c,150.0,17.9 Jupiters,8.08,2004,https://exoplanets.nasa.gov/exoplanet-catalog/6892/hd-202206-c/,Gas Giant,2004,17.9 Jupiters,1.08 x Jupiter,2.41 AU,3.5 years,0.22
656,HD 202696 b,618.0,1.996 Jupiters,8.23,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7347/hd-202696-b/,Gas Giant,2019,1.996 Jupiters,Unknown,1.566 AU,1.4 years,0.01
657,HD 202696 c,618.0,1.864 Jupiters,8.23,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7348/hd-202696-c/,Gas Giant,2019,1.864 Jupiters,Unknown,2.342 AU,2.6 years,0.03
658,HD 202772 A b,480.0,1.017 Jupiters,8.227,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7290/hd-202772-a-b/,Gas Giant,2019,1.017 Jupiters,1.545 x Jupiter,0.05208 AU,3.3 days,0.04
659,HD 203030 b,128.0,24.09 Jupiters,8.425,2006,https://exoplanets.nasa.gov/exoplanet-catalog/6893/hd-203030-b/,Gas Giant,2006,24.09 Jupiters,1.07 x Jupiter,487.1 AU,Infinity years,0.0
660,HD 203473 b,237.0,7.8 Jupiters,8.23,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7266/hd-203473-b/,Gas Giant,2018,7.8 Jupiters,1.12 x Jupiter,2.73 AU,4.3 years,0.29
661,HD 2039 b,280.0,6.29 Jupiters,9.0,2002,https://exoplanets.nasa.gov/exoplanet-catalog/6778/hd-2039-b/,Gas Giant,2002,6.29 Jupiters,1.14 x Jupiter,2.2 AU,3.1 years,0.71
662,HD 204313 b,156.0,3.46 Jupiters,7.99,2010,https://exoplanets.nasa.gov/exoplanet-catalog/6894/hd-204313-b/,Gas Giant,2010,3.46 Jupiters,1.17 x Jupiter,3.07 AU,5.3 years,0.23
663,HD 204313 c,156.0,17.6 Earths,7.99,2015,https://exoplanets.nasa.gov/exoplanet-catalog/7082/hd-204313-c/,Neptune-like,2015,17.6 Earths,0.39 x Jupiter,0.2099 AU,34.9 days,0.16
664,HD 204941 b,94.0,0.23 Jupiters,8.45,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6895/hd-204941-b/,Gas Giant,2011,0.23 Jupiters,0.903 x Jupiter,2.55 AU,4.7 years,0.37
665,HD 205739 b,303.0,1.37 Jupiters,8.56,2008,https://exoplanets.nasa.gov/exoplanet-catalog/6896/hd-205739-b/,Gas Giant,2008,1.37 Jupiters,1.21 x Jupiter,0.896 AU,279.8 days,0.27
666,HD 206255 b,246.0,34.2 Earths,7.618,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7377/hd-206255-b/,Neptune-like,2019,34.2 Earths,0.577 x Jupiter,0.461 AU,96 days,0.23
667,HD 206610 b,482.0,2.036 Jupiters,8.34,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6897/hd-206610-b/,Gas Giant,2009,2.036 Jupiters,1.19 x Jupiter,1.74 AU,1.8 years,0.1
668,HD 20781 b,115.0,1.93 Earths,8.48,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7305/hd-20781-b/,Super Earth,2019,1.93 Earths,1.21 x Earth,0.0529 AU,5.3 days,0.1
669,HD 20781 c,115.0,5.33 Earths,8.48,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7306/hd-20781-c/,Neptune-like,2019,5.33 Earths,2.17 x Earth,0.1004 AU,13.9 days,0.09
670,HD 20781 d,115.0,10.61 Earths,8.48,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7307/hd-20781-d/,Neptune-like,2019,10.61 Earths,0.29 x Jupiter,0.1647 AU,29.2 days,0.11
671,HD 20781 e,115.0,14.03 Earths,8.48,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7308/hd-20781-e/,Neptune-like,2019,14.03 Earths,0.342 x Jupiter,0.3374 AU,85.5 days,0.06
672,HD 20782 b,117.0,1.4878 Jupiters,7.4,2006,https://exoplanets.nasa.gov/exoplanet-catalog/6594/hd-20782-b/,Gas Giant,2006,1.4878 Jupiters,1.21 x Jupiter,1.3649 AU,1.6 years,0.95
673,HD 207832 b,193.0,0.56 Jupiters,8.78,2012,https://exoplanets.nasa.gov/exoplanet-catalog/6898/hd-207832-b/,Gas Giant,2012,0.56 Jupiters,1.26 x Jupiter,0.586 AU,160.1 days,0.2
674,HD 207832 c,193.0,0.73 Jupiters,8.78,2012,https://exoplanets.nasa.gov/exoplanet-catalog/6899/hd-207832-c/,Gas Giant,2012,0.73 Jupiters,1.25 x Jupiter,2.112 AU,3.2 years,0.27
675,HD 20794 b,20.0,2.7 Earths,4.27,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6591/hd-20794-b/,Super Earth,2011,2.7 Earths,1.45 x Earth,0.1207 AU,18.3 days,0.0
676,HD 20794 c,20.0,2.4 Earths,4.27,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6592/hd-20794-c/,Super Earth,2011,2.4 Earths,1.35 x Earth,0.2036 AU,40.1 days,0.0
677,HD 20794 d,20.0,4.8 Earths,4.27,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6593/hd-20794-d/,Super Earth,2011,4.8 Earths,2.04 x Earth,0.3499 AU,90.3 days,0.0
678,HD 20794 e,20.0,4.77 Earths,4.27,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7199/hd-20794-e/,Super Earth,2017,4.77 Earths,2.03 x Earth,0.509 AU,147 days,0.29
679,HD 208487 b,144.0,0.52 Jupiters,7.471,2004,https://exoplanets.nasa.gov/exoplanet-catalog/6901/hd-208487-b/,Gas Giant,2004,0.52 Jupiters,1.27 x Jupiter,0.524 AU,130.1 days,0.24
680,HD 208527 b,1026.0,9.9 Jupiters,6.4,2012,https://exoplanets.nasa.gov/exoplanet-catalog/6900/hd-208527-b/,Gas Giant,2012,9.9 Jupiters,1.11 x Jupiter,2.1 AU,2.4 years,0.08
681,HD 20868 b,156.0,1.25 Jupiters,9.92,2008,https://exoplanets.nasa.gov/exoplanet-catalog/6595/hd-20868-b/,Gas Giant,2008,1.25 Jupiters,1.22 x Jupiter,0.95 AU,380.9 days,0.75
682,HD 208897 b,211.0,1.4 Jupiters,6.51,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7185/hd-208897-b/,Gas Giant,2017,1.4 Jupiters,1.21 x Jupiter,1.05 AU,352.7 days,0.07
683,HD 209458 b,158.0,0.73 Jupiters,7.632,1999,https://exoplanets.nasa.gov/exoplanet-catalog/6902/hd-209458-b/,Gas Giant,1999,0.73 Jupiters,1.39 x Jupiter,0.04707 AU,3.5 days,0.0
684,HD 210193 b,138.0,0.4817 Jupiters,7.823,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7371/hd-210193-b/,Gas Giant,2019,0.4817 Jupiters,1.27 x Jupiter,1.487 AU,1.8 years,0.24
685,HD 210277 b,70.0,1.29 Jupiters,6.53,1998,https://exoplanets.nasa.gov/exoplanet-catalog/6903/hd-210277-b/,Gas Giant,1998,1.29 Jupiters,1.22 x Jupiter,1.13 AU,442.2 days,0.48
686,HD 210702 b,177.0,1.808 Jupiters,5.93,2007,https://exoplanets.nasa.gov/exoplanet-catalog/6904/hd-210702-b/,Gas Giant,2007,1.808 Jupiters,1.2 x Jupiter,1.148 AU,354.1 days,0.03
687,HD 211810 b,211.0,0.67 Jupiters,8.59,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7267/hd-211810-b/,Gas Giant,2018,0.67 Jupiters,1.25 x Jupiter,2.656 AU,4.3 years,0.68
688,HD 211970 b,42.0,13 Earths,8.99,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7372/hd-211970-b/,Neptune-like,2019,13 Earths,0.327 x Jupiter,0.143 AU,25.2 days,0.15
689,HD 212301 b,177.0,0.51 Jupiters,7.764,2005,https://exoplanets.nasa.gov/exoplanet-catalog/6825/hd-212301-b/,Gas Giant,2005,0.51 Jupiters,1.27 x Jupiter,0.03 AU,2.2 days,0.0
690,HD 212771 b,364.0,2.39 Jupiters,7.6,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6905/hd-212771-b/,Gas Giant,2009,2.39 Jupiters,1.18 x Jupiter,1.19 AU,380.7 days,0.08
691,HD 213240 b,133.0,5.58 Jupiters,6.814,2001,https://exoplanets.nasa.gov/exoplanet-catalog/6826/hd-213240-b/,Gas Giant,2001,5.58 Jupiters,1.14 x Jupiter,1.89 AU,2.4 years,0.42
692,HD 213885 b,156.0,8.83 Earths,7.996,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7536/hd-213885-b/,Super Earth,2019,8.83 Earths,1.745 x Earth,0.02012 AU,1 days,0.0
693,HD 213885 c,156.0,19.95 Earths,7.996,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7537/hd-213885-c/,Neptune-like,2019,19.95 Earths,0.42 x Jupiter,0.056798 AU,4.8 days,0.0
694,HD 21411 b,95.0,0.20734 Jupiters,7.885,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7378/hd-21411-b/,Gas Giant,2019,0.20734 Jupiters,0.85 x Jupiter,0.362 AU,84.3 days,0.4
695,HD 214823 b,332.0,20.3 Jupiters,8.06,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7157/hd-214823-b/,Gas Giant,2016,20.3 Jupiters,1.08 x Jupiter,3.23 AU,5.1 years,0.16
696,HD 215152 b,70.0,1.819 Earths,8.11,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7258/hd-215152-b/,Super Earth,2018,1.819 Earths,1.19 x Earth,0.057638 AU,5.8 days,0.0
697,HD 215152 c,70.0,1.72 Earths,8.11,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7259/hd-215152-c/,Super Earth,2018,1.72 Earths,1.17 x Earth,0.067393 AU,7.3 days,0.0
