,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink,planet_type,duplicate_discovery_data,temp_planet_mass,planet_radius,orbital_radius,orbital_period,eccentricity
3986,Proxima Centauri b,4.0,1.27 Earths,11.11,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7167/proxima-centauri-b/,Super Earth,2016,1.27 Earths,1.08 x Earth,0.0485 AU,11.2 days,< 0.35
3987,Psi 1 Draconis B b,72.0,1.53 Jupiters,5.699,2015,https://exoplanets.nasa.gov/exoplanet-catalog/7023/psi-1-draconis-b-b/,Gas Giant,2015,1.53 Jupiters,1.21 x Jupiter,4.43 AU,8.5 years,0.4
3988,PSR B0329+54 b,1647.0,1.97 Earths,20.186,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7534/psr-b032954-b/,Super Earth,2017,1.97 Earths,1.22 x Earth,10.26 AU,27.8 years,0.24
3989,PSR B1257+12 b,1957.0,0.02 Earths,,1994,https://exoplanets.nasa.gov/exoplanet-catalog/7134/psr-b125712-b/,Terrestrial,1994,0.02 Earths,0.338 x Earth,0.19 AU,25.3 days,0.0
3990,PSR B1257+12 c,1957.0,4.3 Earths,,1992,https://exoplanets.nasa.gov/exoplanet-catalog/7135/psr-b125712-c/,Super Earth,1992,4.3 Earths,1.91 x Earth,0.36 AU,66.5 days,0.02
3991,PSR B1257+12 d,1957.0,3.9 Earths,,1992,https://exoplanets.nasa.gov/exoplanet-catalog/7136/psr-b125712-d/,Super Earth,1992,3.9 Earths,1.8 x Earth,0.46 AU,98.2 days,0.03
3992,PSR B1620-26 b,,2.5 Jupiters,,2003,https://exoplanets.nasa.gov/exoplanet-catalog/7137/psr-b1620-26-b/,Gas Giant,2003,2.5 Jupiters,1.18 x Jupiter,23.0 AU,95 years,0.0
3993,PSR J1719-1438 b,3914.0,1.2 Jupiters,,2011,https://exoplanets.nasa.gov/exoplanet-catalog/7138/psr-j1719-1438-b/,Gas Giant,2011,1.2 Jupiters,Unknown,0.0044 AU,0.1 days,< 0.06
3994,PSR J2322-2650 b,750.0,0.7949 Jupiters,,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7196/psr-j2322-2650-b/,Gas Giant,2017,0.7949 Jupiters,1.24 x Jupiter,0.0102 AU,0.3 days,< 0.0017
3995,Qatar-10 b,1758.0,0.736 Jupiters,12.879,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7366/qatar-10-b/,Gas Giant,2019,0.736 Jupiters,1.543 x Jupiter,0.0286 AU,1.6 days,0.0
3996,Qatar-1 b,609.0,1.294 Jupiters,12.843,2010,https://exoplanets.nasa.gov/exoplanet-catalog/5049/qatar-1-b/,Gas Giant,2010,1.294 Jupiters,1.143 x Jupiter,0.02332 AU,1.4 days,0.0
3997,Qatar-2 b,595.0,2.494 Jupiters,13.3,2011,https://exoplanets.nasa.gov/exoplanet-catalog/5117/qatar-2-b/,Gas Giant,2011,2.494 Jupiters,1.254 x Jupiter,0.02153 AU,1.3 days,0.0
3998,Qatar-3 b,2450.0,4.31 Jupiters,12.88,2017,https://exoplanets.nasa.gov/exoplanet-catalog/3486/qatar-3-b/,Gas Giant,2017,4.31 Jupiters,1.096 x Jupiter,0.03783 AU,2.5 days,0.0
3999,Qatar-4 b,1084.0,6.1 Jupiters,13.6,2017,https://exoplanets.nasa.gov/exoplanet-catalog/3487/qatar-4-b/,Gas Giant,2017,6.1 Jupiters,1.135 x Jupiter,0.02803 AU,1.8 days,0.0
4000,Qatar-5 b,1211.0,4.32 Jupiters,12.82,2017,https://exoplanets.nasa.gov/exoplanet-catalog/3488/qatar-5-b/,Gas Giant,2017,4.32 Jupiters,1.107 x Jupiter,0.04127 AU,2.9 days,0.0
4001,Qatar-6 b,330.0,0.668 Jupiters,11.438,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7535/qatar-6-b/,Gas Giant,2017,0.668 Jupiters,1.062 x Jupiter,0.0423 AU,3.5 days,0.0
4002,Qatar-7 b,2365.0,1.88 Jupiters,13.03,2019,https://exoplanets.nasa.gov/exoplanet-catalog/6509/qatar-7-b/,Gas Giant,2019,1.88 Jupiters,1.7 x Jupiter,0.0352 AU,2 days,0.0
4003,Qatar-8 b,903.0,0.371 Jupiters,11.526,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7364/qatar-8-b/,Gas Giant,2019,0.371 Jupiters,1.285 x Jupiter,0.0474 AU,3.7 days,0.0
4004,Qatar-9 b,690.0,1.19 Jupiters,14.133,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7365/qatar-9-b/,Gas Giant,2019,1.19 Jupiters,1.009 x Jupiter,0.0234 AU,1.5 days,0.0
4005,Rho Coronae Borealis b,57.0,1.0449 Jupiters,5.41,1997,https://exoplanets.nasa.gov/exoplanet-catalog/7243/rho-coronae-borealis-b/,Gas Giant,1997,1.0449 Jupiters,1.23 x Jupiter,0.2196 AU,39.8 days,0.04
4006,Rho Coronae Borealis c,57.0,25 Earths,5.41,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7246/rho-coronae-borealis-c/,Neptune-like,2016,25 Earths,0.48 x Jupiter,0.4123 AU,102.5 days,0.05
4007,Ross 128 b,11.0,1.4 Earths,11.15,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7222/ross-128-b/,Super Earth,2017,1.4 Earths,1.11 x Earth,0.0496 AU,9.9 days,0.12
4008,Ross 458 c,38.0,6 Jupiters,9.72,2010,https://exoplanets.nasa.gov/exoplanet-catalog/6865/ross-458-c/,Gas Giant,2010,6 Jupiters,1.25 x Jupiter,1100.0 AU,52148.2 years,0.0
4009,ROXs 12 b,448.0,16 Jupiters,14.294,2013,https://exoplanets.nasa.gov/exoplanet-catalog/7140/roxs-12-b/,Gas Giant,2013,16 Jupiters,1.09 x Jupiter,210.0 AU,3264.5 years,< 0.83
4010,ROXs 42 B b,440.0,9 Jupiters,13.116,2013,https://exoplanets.nasa.gov/exoplanet-catalog/7139/roxs-42-b-b/,Gas Giant,2013,9 Jupiters,1.12 x Jupiter,157.0 AU,1968.3 years,< 0.58
4011,RR Caeli b,69.0,4.2 Jupiters,13.658,2012,https://exoplanets.nasa.gov/exoplanet-catalog/7035/rr-caeli-b/,Gas Giant,2012,4.2 Jupiters,1.16 x Jupiter,5.3 AU,11.9 years,0.0
4012,SR 12 AB c,366.0,13 Jupiters,13.265,2010,https://exoplanets.nasa.gov/exoplanet-catalog/7141/sr-12-ab-c/,Gas Giant,2010,13 Jupiters,1.1 x Jupiter,Unknown,365 days,0.0
4013,SWEEPS-11 b,27727.0,9.7 Jupiters,19.83,2006,https://exoplanets.nasa.gov/exoplanet-catalog/5054/sweeps-11-b/,Gas Giant,2006,9.7 Jupiters,1.13 x Jupiter,0.03 AU,1.8 days,0.0
